time,evi,ndvi,lswi
6/17/2008,0.236691956,0.394874477,-0.130136986
6/25/2008,0.224567388,0.444444444,-0.064875939
7/3/2008,0.257463496,0.405023165,-0.09374017
7/11/2008,0.211706887,0.366612111,-0.141682371
7/19/2008,0.215834002,0.357727738,-0.137516255
7/27/2008,0.221910359,0.348644924,-0.134816561
8/4/2008,0.218999567,0.361615129,-0.127129751
8/12/2008,0.200179937,0.351381839,-0.136576577
8/20/2008,0.217336446,0.371829466,-0.11056683
8/28/2008,0.201700899,0.353586498,-0.124454148
9/5/2008,0.207757094,0.340117019,-0.122877123
9/13/2008,0.194774347,0.335149864,-0.121391429
9/21/2008,0.19962541,0.344279946,-0.129510197
9/29/2008,0.234014082,0.399076338,-0.080849545
10/7/2008,0.219120774,0.416829746,-0.109836066
10/15/2008,0.207929573,0.370826011,-0.141441937
10/23/2008,0.192629267,0.353171025,-0.168759232
10/31/2008,0.200836672,0.416391033,-0.153339192
11/8/2008,0.209244782,0.448328851,-0.157918249
11/16/2008,0.215995546,0.485,-0.136627907
11/24/2008,0.22953593,0.534946237,-0.067501361
12/2/2008,0.230899021,0.507866075,-0.108088762
12/10/2008,0.170279292,0.561281337,0.039888683
12/18/2008,0.230844424,0.519458545,-0.123046875
12/26/2008,0.258460191,0.523668639,-0.035128806
1/1/2009,0.26672774,0.501656726,-0.069213391
1/9/2009,0.237116484,0.522867738,-0.110040934
1/17/2009,0.246667385,0.504223283,-0.130545532
1/25/2009,0.264068781,0.558881449,-0.087597971
2/2/2009,0.274565423,0.554331865,-0.078563656
2/10/2009,0.263435791,0.557684631,-0.066060316
2/18/2009,0.281484124,0.538566553,-0.03510274
2/26/2009,0.28795016,0.587141751,-0.001461988
3/6/2009,0.289973,0.579453067,-0.057136554
3/14/2009,0.287979809,0.604109048,-0.037230258
3/22/2009,0.300924172,0.601666036,0.000709723
3/30/2009,0.342981977,0.625913621,0.02901598
4/7/2009,0.368461879,0.746911269,0.159542744
4/15/2009,0.361388838,0.637179487,0.057775937
4/23/2009,0.310862667,0.588954911,0.024104528
5/1/2009,0.301095223,0.563116706,0.005691769
5/9/2009,0.300629477,0.562246279,0.016956617
5/17/2009,0.28237719,0.499696049,-0.041197046
5/25/2009,0.251751927,0.464297254,-0.068830902
6/2/2009,0.235202687,0.439622854,-0.102217065
6/10/2009,0.218653448,0.414948454,-0.135603228
6/18/2009,0.230147178,0.393637621,-0.118305915
6/26/2009,0.207702362,0.311647931,-0.126890623
7/4/2009,0.217479994,0.3609375,-0.155189137
7/12/2009,0.198285453,0.367718447,-0.162081784
7/20/2009,0.22211492,0.372972973,-0.120498615
7/28/2009,0.203504437,0.362058994,-0.137678506
8/5/2009,0.220030111,0.357816883,-0.131626162
8/13/2009,0.1952239,0.344187375,-0.154813218
8/21/2009,0.229072117,0.389467756,-0.086465469
8/29/2009,0.209333333,0.381762918,-0.094782955
9/6/2009,0.22150618,0.356373654,-0.12447462
9/14/2009,0.193030463,0.356903383,-0.156178923
9/22/2009,0.203870634,0.355693348,-0.144888889
9/30/2009,0.207725322,0.38658147,-0.101635272
10/8/2009,0.201404287,0.364105679,-0.11904295
10/16/2009,0.211678307,0.428571429,-0.103795153
10/24/2009,0.217676463,0.433004231,-0.120726958
11/1/2009,0.23657638,0.439341147,-0.106567047
11/9/2009,0.230142417,0.474640424,-0.089719626
11/17/2009,0.221523615,0.455981941,-0.076151826
11/25/2009,0.234043345,0.507468712,-0.046232439
12/3/2009,0.210968103,0.466391753,-0.091930541
12/11/2009,0.171763001,0.469515373,-0.025233322
12/19/2009,0.207738542,0.472649573,-0.136773547
12/27/2009,0.22571977,0.518061674,-0.082778813
1/1/2010,0.22571977,0.518061674,-0.082778813
1/9/2010,0.248035997,0.509662751,-0.069376314
1/17/2010,0.254154731,0.521485353,-0.065333694
1/25/2010,0.260273464,0.533307956,-0.061291074
2/2/2010,0.266495329,0.536193788,-0.050581741
2/10/2010,0.272717194,0.53907962,-0.039872408
2/18/2010,0.254117737,0.555648187,-0.02507837
2/26/2010,0.282381498,0.593440638,0.005633703
3/6/2010,0.310645259,0.631233089,0.036345776
3/14/2010,0.306337389,0.580722892,0.021579533
